title,title2,date,update,journalist,article
이명박은 지지율 25%로도 여당 과반 승리…이번엔?,,2024-04-09 11:05,2024-04-09 09:30,이승준,"4·10 총선이 이틀 앞으로 다가온 8일, 이재명 더불어민주당 대표가 서울 격전지 11곳을 꼽아 지지를 호소했다. 이 대표가 집중 지원 유세를 펼친 동작을(류삼영 후보), 대통령실 이전으로 ‘정치 1번지’로 새롭게 떠오른 용산(강태웅 후보) 등이 여기에 포함됐다., 이 대표는 이날 페이스북에 ‘총선 초박빙! 지인을 찾아주십시오’ 제목의 게시글을 올려 “이제는 백병전입니다. 심판은 여론조사가 아니라 투표로 합니다. 대한민국 전체가 하나의 선거구입니다. 가족, 친척, 친구, 지인 등 모든 분께 투표를 독려해주십시오”라고 호소했다., 이 대표가 꼽은 서울 격전지는 △중·성동을(박성준 후보) △용산(강태웅 후보) △양천갑(황희 후보) △영등포을(김민석 후보) △동작을(류삼영 후보) △서초을(홍익표 후보) △강남을(강청희 후보) △송파갑(조재희 후보) △송파을(송기호 후보) △송파병(남인순 후보) △광진을(고민정 후보) 등 11곳이다., 이 대표는 당초 올린 글에서 동대문갑(안규백 후보) 지역구도 포함해 모두 12곳을 집었지만, 이후 게시글을 수정하면서 동대문갑 지역을 초박빙 지역에서 제외했다. “한 명의 지인이라도 투표하게 만들면 이길 수도, 아니면 질 수도 있는 초박빙 지역들이 많다”는 게시글 문장 등도 일부 삭제했다., 서울은 이번 22대 총선에서 모두 48개 의석이 걸려있다. 4년 전 21대 총선에서는 전체 49석이었는데, 민주당과 미래통합당(국민의힘 전신)이 각각 41석과 8석을 건졌다., 고한솔 기자 sol@hani.co.kr"
"민주도 국힘도 “낙동강 벨트, 우리가 우세”",총선 D-1,2024-04-09 05:00,2024-04-09 09:20,"이우연,","4·10 총선을 이틀 앞둔 8일, 더불어민주당은 지역구 254석 중 ‘140석+알파(α)’를, 국민의힘은 ‘105~110석+알파’ 의석을 자체 예상하면서 지지층 결집에 나섰다. 비례대표 위성정당 의석까지 합치면 전체 의석 300석 가운데 각각 ‘150석+알파’, ‘120석+알파’를 기대하고 있다. 야당은 ‘정권 심판론’이 거스를 수 없는 대세라고 보는 반면, 여당은 선거 막판 보수표가 결집하고 있다고 주장한다., 민주당은 공식적으로는 지역구 ‘110석 우세’를 고수하고 있지만, 내부적으로는 경합 지역인 50석의 상당수를 우세로 분류한다. 10석가량 예상되는 비례대표(더불어민주연합) 의석까지 합하면 과반인 총 150석 이상을 내다본다. 한병도 선거대책위원회 전략본부장은 “높은 사전투표율로 아주 긍정적인 분위기”라며 “150석을 목표로 또박또박 걸어가겠다”고 했다., 특히 민주당은 ‘한강 벨트’ 등 경합 지역이 대거 포진된 수도권에서 지난 총선보다 5%포인트(p)가량 높은 30% 안팎의 사전투표율이 나온 것을 긍정적인 신호로 보고 있다. 보수 텃밭인 서울 강남을과 서초을도 열세 지역에서 경합 지역으로 분류하며 예측치를 높였다. 민주당은 경기(60석)와 인천(14석)에서도 우세 흐름이 여전하다고 본다. 민주당은 ‘낙동강 벨트’를 포함한 부산·경남에서 지난 총선에선 6석(부산 3석, 경남 3석)을 얻었으나, 이번에는 부산에서 북갑, 사하갑, 수영, 해운대갑 등 8곳, 경남에서 김해갑, 김해을, 양산을 등 5곳을 우세권으로 보고 있다., 국민의힘은 지역구 105~110석에 비례대표(국민의미래) 17~18석을 더해 총 120석 이상을 건질 것으로 전망하고 있다. 국민의힘 선대위 핵심 관계자는 “윤석열 대통령이 의대 정원 대국민 담화를 발표할 때까지만 해도 분위기가 안 좋았는데, 김준혁·양문석 민주당 후보의 막말 논란 등이 ‘터닝 포인트’라고 본다”며 “그걸 계기로 지지층이 결집하고 있다”고 말했다. 여론조사 공표가 금지된 지난 4일 이후부터 서울 영등포을, 중·성동을, 용산 등 한강 벨트와 경남 양산을, 부산 북갑, 사상 등 낙동강 벨트에서 여당 후보들이 치고 올라오고 있다는 것이다. 홍석준 선대위 부상황실장은 브리핑에서 “보는 시각에 따라 경합지를 최소 60석 이상으로 생각하고 있다”며 “초박빙 경합 지역이 서울에 굉장히 많이 있다. ‘낙동강 벨트’도 박빙 우세로 전환되고 있다”고 말했다., 이우연 기자 azar@hani.co.kr, 서영지 기자 yj@hani.co.kr"
"한동훈 ‘반도체 벨트’ 공들이고, 부울경 20곳서 지원유세",,2024-04-09 05:00,2024-04-09 09:19,서영지,"“제가 수원에 자주 오는 거 같은데, 자주 오는 이유는 이겨야 하기 때문에 이길 수 있기 때문입니다.”, 4·10 총선을 이틀 앞둔 8일, 경기 수원시 장안구 북수원시장에서 열린 국민의힘 유세에서 한동훈 비상대책위원장은 이렇게 말했다. 이번 총선 공식 선거운동이 시작된 뒤 한 위원장이 수원을 방문한 것은 이날이 세번째다. 수원을 중심으로 한 경기 남부 ‘반도체 벨트’는 지난 총선 때 국민의힘이 열세였으나, 국민의힘은 이 지역을 탈환해 수도권 승리의 교두보로 삼으려 온 힘을 쏟고 있다., 공식 선거운동이 시작된 지난달 28일부터 이날까지 12일 동안 한 위원장은 모두 122곳에 지원유세를 다녔다. 광역시·도 가운데 가장 많이 방문한 곳은 60석이 걸린 경기도(37곳)였고, 서울(29곳), 충청(23곳) 등 그 뒤를 이었다. 부산·울산·경남은 20곳에서, 인천은 9곳에서 지원유세를 펼쳤다., 한 위원장은 이 가운데 경기 수원·용인 각 3차례, 평택·이천 각 2차례, 화성 1차례 등 반도체 벨트를 모두 11차례 방문했다. 경기 남부 반도체 기업 본사들이 자리잡은 지역을 일컫는 반도체 벨트엔, 의석이 지난 총선 때보다 2개 더 늘어난 17개가 걸려 있다. 21대 총선 때 국민의힘은 이 지역에서 2석밖에 얻지 못했지만, 이번엔 공천 절차가 본격화하기 전 일찌감치 일부 후보들을 전략 배치하는 등 공을 들여왔다., 한 위원장은 이날도 수원에서 “분노의 투표로 ‘김준혁(민주당 경기 수원정 후보)은 안돼’라고 외쳐달라. 김준혁 같은 사람에게 수원을 맡길 겁니까”고 말했다. 한 위원장은 앞서 지난달 31일 용인에선 자신의 ‘검찰 후배’인 이원모 후보(용인갑) 지원 유세를 하면서 “저는 오래도록 이원모 후보를 봐왔다. 그는 늘 합리적이고 바른 말을 하며 그걸 고집하고 관철하는 용기와 집념이 있는 사람”(지난달 31일)이라고 했다., 한 위원장은 경기 김포·오산 등에서도 세 차례씩 집중유세를 펼쳤다. 현재 김포의 현역 의원은 2명 모두 민주당 소속이지만, 국민의힘은 ‘경기 김포시 서울 편입’ 공약으로 두 지역을 공략하고 있다. 국민의힘 영입 인재인 김효은 후보와 차지호 민주당 후보가 맞붙은 오산도 ‘경합’으로 보고 있다., 경기도만큼 한 위원장이 시간을 할애한 곳은 서울이다. 특히 이번 총선의 최대 승부처로 꼽히는 ‘한강 벨트’는 여야 모두 전력을 다할 수밖에 없는 만큼, 한 위원장도 동작·마포·광진 등을 2차례씩 방문했다. 국민의힘은 김준혁 후보의 막말 논란과 양문석(경기 안산갑) 후보의 편법 대출 의혹 등 민주당의 ‘후보 리스크’로, 국민의힘 수도권 후보 지지율이 다시 상승세를 타고 있다고 보고 있다. 이에 한 위원장도 유세에서 두 사람 사례를 거듭 언급하고 있다., 이밖에도 한 위원장은 ‘낙동강벨트’ 접전지 가운데 경남 양산을과 부산 북갑 지역을 각 한 차례씩, 경남 창원진해를 두 차례 찾아가 이 지역 후보들을 지원했다. 이 가운데 경남 창원진해는 야당에 한 번도 내어준 적 없는 보수 우세지역으로 분류됐지만, 최근 여론조사에서 이종욱 국민의힘 후보가 황기철 민주당 후보에게 뒤처지는 결과가 나오기도 했다. 한 위원장은 경북 경산(조지연 후보)과 대구 중·남(김기웅 후보) 지역도 방문했는데, 모두 무소속인 최경환 후보와 도태우 후보의 지지세가 만만치 않다., 선대위 관계자는 “한 위원장이 방문해주길 요청한 곳은 많았지만, 그 중에서도 우리가 전략적으로 동선을 짤 수밖에 없었다. 우리가 ‘경합열세’더라도 해볼 만한 지역 위주로 방문했다”고 말했다., 서영지 기자 yj@hani.co.kr"
"이재명, 24번 중 15번 수도권 유세…못 간 곳 ‘유튜브 지원’",선거운동 12일 동선 ‘선택과 집중’,2024-04-09 05:00,2024-04-09 09:24,임재우,"이재명 더불어민주당 대표의 4·10 총선 유세 동선은 ‘선택과 집중’이라는 단어로 요약된다. 이 대표는 당 대표이자, 지역구 의원, 형사재판 피고인이라는 3가지 구실을 동시에 수행해야 하는 까닭에 유세 일정 대부분을 수도권에서 보냈다. 특히 이 대표는 ‘한강 벨트’ 격전지인 서울 동작을과 중·성동을에 각별하게 공을 들였다., 이 대표는 공식 선거운동 기간(3월28일~4월8일) 전체 일정의 71.8%(총 71곳 중 51곳, 중복 포함)를 수도권에서 보냈다. 서울(30곳)에서 가장 많은 지역을 찾았고, 인천(14곳)·경기(7곳)가 그 뒤를 이었다. 이 대표가 지난 12일 동안 수도권을 벗어난 날은 부산·울산·경남(12곳)과 대전·충청·대구(6곳)를 방문했던 사흘(4월3~5일)뿐이다. 이 대표는 17개 시도 가운데 강원·경북·광주·전북·전남·세종 등은 찾지 않았다., 이 대표는 제한된 일정 속에서 총선 최대 격전지인 ‘한강 벨트’에 집중했다. 그중에서도 서울 동작을과 중·성동을은 선거운동 기간에 각각 세 차례씩 반복해서 방문하고, 이와 별도로 유튜브로 한 차례씩 원격지원도 했다. 특히 자신이 영입한 류삼영 민주당 후보가 나경원 국민의힘 후보와 맞붙은 동작을은 공식 선거운동 기간 전까지 포함하면 총 7번 찾았을 정도로 공을 들이고 있다. “제가 몇번째 오는지 모르겠는데 하도 많이 와서 잊어버렸다”(8일 현장 유세)고 했을 정도다. 이 대표는 지난 2일 재판이 끝난 뒤 제주행 비행기를 타러 공항으로 향하던 중에도 짬을 내 동작을 유세 현장을 들렀다., 마찬가지로 한강 벨트 격전지인 중·성동을은 이 대표의 측근인 박성준 민주당 후보와 이혜훈 국민의힘 후보가 접전을 벌이는 곳이다. 이외에 이 대표는 서울 영등포을(김민석 후보), 서울 강동갑(진선미 후보), 서울 서대문갑(김동아 후보), 인천 동·미추홀을(남영희 후보) 등 수도권 접전지역을 두 차례씩 방문했다., 단일 지역구로 가장 자주 방문한 곳은 자신의 지역구인 인천 계양을(10차례)이었다. 최근 20여년간 민주당 후보가 줄곧 당선됐던 곳이지만, 원희룡 국민의힘 후보가 출마해 긴장을 늦출 수 없었기 때문으로 보인다. 다만 상임선거대책위원장으로 다른 지역을 지원해야 하는 탓에 이 대표는 낮 시간은 한강 벨트 격전지에서 보낸 뒤, 아침·저녁 시간은 지역구를 찾는 ‘틈새 유세’를 자주 벌였다., 유튜브는 재판에 출석해야 하는 이 대표에게 요긴한 유세 도구였다., 이 대표는 지난 12일간 96만 구독자의 이재명 티브이(TV)에서 매일 1~3차례씩 총 17번에 걸쳐 격전지 후보들과 통화하는 ‘유튜브 원격지원’을 했다. 부산 해운대갑, 서울 강남을 등 험지 후보들과 20~30분씩 벌이는 원격 유세의 한회당 조회수는 적게는 2만회, 많게는 10만회에 달했다. 이 대표는 대장동 재판이 있었던 지난달 29일과 지난 2일에는 서울 서초동 서울중앙지법으로 향하는 길에 험지 후보들을 지원하기도 했다., 김부겸 상임공동선대위원장은 전국을 다니며 지원 유세를 분담했다. 김 위원장은 전국 16개 시도, 총 102곳을 방문하는 등 수도권에 발이 묶인 이 대표의 자리를 메웠다. 이 대표와 김 위원장이 모두 방문하지 않은 지역은 전남뿐이다., 임재우 기자 abbado@hani.co.kr"
한동훈 “야권 200석 되면 이재명·조국 ‘셀프 사면’ 할 것”,,2024-04-08 19:27,2024-04-08 22:11,신민정,"4·10 총선을 이틀 앞둔 8일, 한동훈 국민의힘 비상대책위원장은 경기·인천을 돌며 ‘야당의 개헌선 확보 저지’를 호소했다. 한 위원장은 이날도 “야당이 200석을 확보하면 대한민국을 무너뜨릴 것”이라며 이재명 더불어민주당 대표와 조국 조국혁신당 대표를 상대로 파상공세를 폈다., 한 위원장은 이날 경기 광주·이천·안성·오산·용인·수원·성남·김포·고양과 인천 연수·계양 등 경기·인천 11곳에서 지원 유세를 펼쳤다. 한 위원장은 이날도 ‘야당 200석 압승론’을 언급하며 지지층의 위기감을 고조시켰다. 200석은 개헌에 필요한 최소 의석이다. 그는 “(야당이) 200석을 갖고 뭘 할 것 같나. 대통령 탄핵만 할 것 같나”라며 “200석 가지고 개헌해서 국회가 사면권을 행사하도록 하고, 이재명 대표나 조국 대표가 자기 죄를 ‘셀프 사면’할 것”이라고 주장했다., 한 위원장은 이재명 대표의 ‘쌍방울 대북송금 의혹’도 저격했다. 그는 ‘한국이 세계무역수지 적자 200위로 북한보다 심각하다’고 한 이 대표의 지난 3일 발언을 언급하며 “그렇게 북한이 좋아서 북한에 가기 위해 조폭 출신 쌍방울을 통해 (북한에) 돈 갖다줬나”라고 말했다. 그러면서 “오늘은 (이화영 전 경기도 평화부지사의) 쌍방울 대북송금 (재판), 내일은 (이 대표 본인의) 대장동 (재판)이다. 이런 분에게 대한민국의 미래를 맡길 건가”라고 목소리를 높였다., 그는 ‘이대생 미군 성상납’ 등 막말 논란을 일으킨 김준혁 민주당 후보(경기 수원정)와 ‘편법 대출’ 의혹을 받는 양문석(경기 안산갑) 민주당 후보도 겨냥했다. 그는 “갑질, 성희롱을 대한민국에서 추방하는 데 들인 노력과 성취를 쓰레기통에 박지 말자” “양문석이 국회의원 되면 앞으로 장관 청문회에서 이런 (편법 대출 같은) 거 무사통과”라며 국민의힘을 지지해달라고 호소했다., 한 위원장은 “이순신 장군께서 12척의 배로 나라를 구하셨다”며 “(본투표날) 12시간이 결코 짧지 않다. 여러분이 나라를 구해달라”며 지지층의 투표도 독려했다., 신민정 기자 shin@hani.co.kr"
이재명 “투표용지가 옐로카드”…서울·인천 접전지 찾아 심판 호소,,2024-04-08 19:27,2024-04-08 22:10,강재구,"이재명 더불어민주당 대표가 4·10 총선을 이틀 앞둔 8일 서울과 인천 주요 격전지 9곳을 찾아 막판 총력전에 나섰다. 이번 총선 최대 승부처로 꼽히는 서울 지역을 반드시 사수해 승기를 잡겠다는 구상이다., 이 대표는 이날 오전 서울 동작을 류삼영 후보 지원을 시작으로 김민석(영등포을)·안규백(동대문갑)·곽상언(종로)·박성준(중·성동을)·김동아(서대문갑)·황희(양천갑)·남영희(인천 동·미추홀을)·박찬대(인천 연수갑) 후보 지역구를 연달아 찾아 현장 유세를 펼쳤다. 대체로 여론조사 공표가 금지된 지난 4일 직전 나온 여러 조사에서 오차범위 내 접전이 벌어지는 것으로 조사된 곳들이다. 이 대표는 이날 유세 전 페이스북에 △영등포을 △양천갑 △동작을 등 초박빙 승부가 펼쳐지는 서울 지역 11곳을 소개하면서 “이제는 백병전”이라며 투표 독려에 나서기도 했다., 이 대표는 이날 여섯번째 찾은 동작을 유세에서 정권심판론을 재차 강조했다. 민주당은 정치 신인 류삼영 후보와 4선 나경원 국민의힘 후보가 맞붙은 동작을 결과가 ‘서울 압승의 가늠자’라 본다. 이 대표는 “나경원 후보는 이 정권 출범에 큰 역할을 했고, 이 정권 주축 중 하나”라며 “반드시 지난 2년간 실정에 대해 책임을 물어야 한다”고 말했다. 이어진 동대문 유세에선 “투표용지가 옐로카드다. 옐로카드를 줬는데도 계속 반칙을 하면 언젠가 레드카드를 줘야 할지도 모르겠다”고도 했다., 여의도 금융가에선 김건희 여사의 주가조작 의혹이 ‘코리아 디스카운트’를 유발할 수 있다고 주장했다. 이 대표는 “대통령 부인이 주가조작으로 돈을 수십억원 벌었다면 (금융당국 등이) 단속을 해야 하는데 수사조차 하지 않는다”며 “그들(외국인)이 볼 때 주가조작이 횡행할 뿐 아니라 사람에 따라 처벌하는 게 달라 믿을 수 없다고 생각할 수밖에 없다”고 했다., 이 대표는 또 “(2022년) 대선에서도 4분의 1이 투표를 포기한 결과 (득표율) 0.73%포인트 차이로 운명이 갈렸다. 주변 분들이 포기 않고 주권을 행사하도록 연락해달라”고 호소했다., 강재구 기자 j9@hani.co.kr"
새로운미래 “사법 리스크 없는 유일 야당은 우리”,,2024-04-08 19:20,2024-04-08 20:39,이우연,"새로운미래는 4·10 총선을 이틀 앞둔 8일 수도권에서 “사법 리스크가 없는 유일한 야당”임을 강조하며 비례대표 투표를 호소했다., 오영환 총괄선거대책위원장은 이날 서울 성동구 성수동 카페거리, 마포구 동교동 경의선숲길, 동대문구 경동시장 등을 찾아 정당 투표 기호 ‘6번’을 강조하는 ‘6캔두잇(6 can do it) 캠페인’을 벌였다. 오 위원장은 “많은 청년분들, 시민분들에게 대한민국 정치를 바꿔보고 새로운 정치를 보여드리겠다는 약속을 드린다”고 했다. 이어 경동시장에서는 윤석열 대통령의 ‘대파 875원’ 발언을 비판하는 ‘파값잡는당 캠페인’을 이어갔다. 고물가를 초래한 윤석열 정권 심판론을 강조한 것이다., 새로운미래는 이재명 대표의 더불어민주당과 차별화되는 세력이라는 점도 강조했다., 광주 광산을에 출마한 이낙연 공동대표는 페이스북에 “사법 리스크 없는 세력이 검찰 정권을 확실히 심판할 수 있다”며 “새로운미래는 사법 리스크가 없는 유일한 야당이다. 총선 뒤 민주세력을 재건해 정권교체를 준비하겠다”고 썼다., 새로운미래는 9일 설훈 후보의 지역구인 경기 부천을 지역에 있는 홈플러스 상동점 앞 광장에서 마지막 유세를 펼칠 예정이다. 민주당은 이 유세에서 비례대표 투표에서 꼭 새로운미래를 선택해달라고 집중적으로 호소할 예정이다. 오 위원장은 불교방송 (BBS ) 라디오에서 “ 거대 양당의 극한 대립 문제를 해결하고 국회와 정치를 바꾸기 위해서는 최소 5석이 필요하다”고 말했다., 지역구에서는 세종갑의 김종민 후보 정도가 당선될 것으로 전망한다. 민주당은 지난달 23일 부동산 갭 투기 의혹에 휩싸인 이 지역의 이영선 후보 공천을 취소했다., 이우연 기자 azar@hani.co.kr"
한동훈 마지막 유세는 ‘청계광장’…“서울과 수도권의 중심”,,2024-04-08 19:18,2024-04-08 20:25,선담은,"한동훈 국민의힘 비상대책위원장 겸 총괄선거대책위원장이 4·10 총선 마지막 유세를 9일 서울 청계광장에서 벌이기로 했다., 이충형 선대위 대변인은 8일 서울 여의도 당사에서 기자들과 만나 “내일 청계광장에서 한 위원장과 주요 선대위 관계자가 대거 참가한 가운데 파이널 유세를 펼칠 예정”이라며 “마지막으로 국민께 호소드리고 국민의힘의 앞으로의 방향성과 메시지를 전달할 계획”이라고 말했다., 한 위원장이 마지막 유세 장소로 청계광장을 택한 까닭에 관해 이 대변인은 “청계광장은 서울과 수도권의 중심”이라며 이번 선거가 대한민국의 중심을 잡을 수 있는 중요한 기점이 될 것이란 의미를 고려했다고 말했다., 선담은 기자 sun@hani.co.kr"
조국 “야권 200석 땐 김건희 법정서 볼 것”,"‘야권 200석 되면 이·조 셀프사면’ 주장에
“말도 안 되는 소리…사면권은 대통령에”",2024-04-08 19:16,2024-04-09 09:32,고한솔,"조국 조국혁신당 대표는 4·10 총선을 이틀 앞둔 8일, 국민의힘이 ‘김포 서울 편입론’을 꺼냈던 경기·서울 지역을 돌며 윤석열 대통령과 한동훈 국민의힘 비상대책위원장을 겨눠 ‘응징 유세’를 이어갔다., 조 대표는 경기 김포시 사우동 김포아트홀 앞에서 기자들에게 “한동훈 국민의힘 비상대책위원장이 ‘목련꽃이 필 때쯤 김포는 서울이 돼 있을 것’이라고 했다. 목련은 폈을 뿐 아니라 이미 졌다. 지금은 벚꽃이 피어 있다”고 말했다. 그는 “한 위원장이 최근에는 ‘김포는 사실상 서울 아닙니까’라고 했다. 김포 시민과 서울 시민을 우롱하는 발언이다. 사실상 못 한다고 자백한 것”이라며 한 위원장을 직격했다., 조 대표는 ‘야권 200석이 되면 이재명 더불어민주당 대표와 조 대표가 스스로를 사면할 것’이라는 한 위원장 주장에 “사면권은 대통령에게 있다. 말도 안 되는 소리다. (한 위원장이) 엉뚱한 이야기를 하는 건 공포감을 조성하기 위한 것”이라며 “민주당과 조국혁신당이 합쳐 200석이 있으면, 김건희씨 및 김건희씨 생모 최은순씨의 (도이치모터스) 주가조작 범죄를 수사할 수 있다. 200석을 우리(야권)가 확보하면 김건희가 법정에 출두하는 모습을 모두 보게 될 것”이라고 응수했다., 이날 조국 대표는 경기 김포와 군포, 성남 위례신도시와 서울 동작구 숭실대학교를 차례로 돌았다. 경기 남부에서는 국민의힘 ‘김포 서울 편입론’의 문제점을 부각하는 한편, 서울 동작을에 출마한 나경원 국민의힘 후보를 타깃으로 삼은 ‘응징 유세’다., 선거운동 마지막 날인 9일 조 대표는 부산·대구·광주·서울을 차례로 찾는 전국 단위 광폭 행보에 나선다. 선거운동을 시작한 광화문광장에 집결해 선거운동을 마무리할 예정이다. 김보협 조국혁신당 대변인은 “광화문광장은 박근혜 전 대통령의 국정농단을 끌어내린 곳으로, 촛불혁명을 계승해서 검찰 독재 정권 조기 종식을 위해 행동하는 정당이 되겠다는 의미가 있다”고 말했다., 고한솔 기자 sol@hani.co.kr"
"개혁신당, 이준석 대표 필두 “48시간 무박유세”",,2024-04-08 19:14,2024-04-08 20:22,김지은,"개혁신당은 이준석 대표를 선두로 중앙당 선거대책위원회 전체가 4·10 총선 이틀 전인 8일부터 ‘48시간 무박 유세’에 돌입했다., 이 대표는 이날 인스타그램에 “오늘 자정부터 48시간 동안 무박 유세를 한다”고 밝혔다. 선거일까지 남은 기간에는 자신이 출마한 경기 화성을에서 집중 현장 유세를 할 예정이다., 천하람 총괄선대위원장도 페이스북에 “이준석 혼자 쓰러지게 놔둘 수 없다. 중앙당 선대위 전체가 남은 선거 기간 무박 유세를 함께 달리겠다”고 선언했다. 이어 “낮에는 저와 이주영 총괄선대위원장이 전국 각지의 유세를 다 소화하고, 저녁부터 새벽까지 이 대표와 함께하겠다”고 덧붙였다. 천 위원장은 “개인적인 바람으로는 저희 개혁신당이 기호 7번이기 때문에 적어도 7명의 당선자를 낼 수 있으면 좋지 않겠나”라고 말했다., 개혁신당은 이 대표가 출마한 경기 화성을에서만큼은 판세가 유리하게 바뀌고 있다고 자신하는 분위기다., 이 대표는 이날 케이비시(KBC)광주방송 인터뷰에서 “실제로 현장에서 느끼는 분위기는 이미 판세가 뒤집혔다고 본다”고 말했다. 그는 한국갤럽조사연구소가 중앙일보 의뢰로 지난 3일 휴대전화 가상번호를 활용한 무선전화 인터뷰 방식으로 한 조사(자세한 내용은 중앙선거여론조사심의위원회 누리집 참조)에서 31%를 얻어 43%를 기록한 공영운 더불어민주당 후보에 이어 2위를 기록했다., 개혁신당 선대위는 이날 허은아 후보가 나선 서울 영등포갑과 조응천·안만규·정재준 후보가 출마한 경기 남양주 지역, 구리(김구영 후보)와 서울 강동갑·을(김기수·정승우 후보) 지역에서 집중 유세를 벌였다., 김지은 기자 quicksilver@hani.co.kr"
